Order,,,Tag Code,,,Reader,Mux,RSSI,,Time
51730,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52E+12,1520473468
51731,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473468
51732,TAG_READ,,c50000000000000000000710,,,1,1,-69,1.52E+12,1520473468
51733,TAG_READ,,c50000000000000000000048,,,1,4,-64,1.52E+12,1520473468
51734,TAG_READ,,c50000000000000000000916,,,1,4,-67,1.52E+12,1520473468
51735,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473468
51736,TAG_READ,,c50000000000000000000235,,,1,4,-66,1.52E+12,1520473469
51737,TAG_READ,,c50000000000000000000048,,,1,2,-69,1.52E+12,1520473469
51738,TAG_READ,,c50000000000000000000235,,,1,4,-66,1.52E+12,1520473469
51739,TAG_READ,,c50000000000000000000883,,,1,1,-69,1.52E+12,1520473469
51740,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473469
51741,TAG_READ,,c50000000000000000000235,,,1,1,-68,1.52E+12,1520473469
51742,TAG_READ,,c50000000000000000000048,,,1,2,-67,1.52E+12,1520473469
51743,TAG_READ,,c50000000000000000000048,,,1,4,-63,1.52E+12,1520473469
51744,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473469
51745,TAG_READ,,c50000000000000000000048,,,1,2,-70,1.52E+12,1520473470
51746,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473470
51747,TAG_READ,,c50000000000000000000916,,,1,4,-65,1.52E+12,1520473470
51748,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473470
51749,TAG_READ,,c50000000000000000000048,,,1,1,-69,1.52E+12,1520473470
51750,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52E+12,1520473470
51751,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473470
51752,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473470
51753,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52E+12,1520473470
51754,TAG_READ,,c50000000000000000000235,,,1,3,-72,1.52E+12,1520473470
51755,TAG_READ,,c50000000000000000000048,,,1,2,-66,1.52E+12,1520473471
51756,TAG_READ,,c50000000000000000000235,,,1,4,-64,1.52E+12,1520473471
51757,TAG_READ,,c50000000000000000000158,,,1,4,-65,1.52E+12,1520473471
51758,TAG_READ,,c50000000000000000000048,,,1,4,-65,1.52E+12,1520473471
51759,TAG_READ,,c50000000000000000000315,,,1,4,-68,1.52E+12,1520473471
51760,TAG_READ,,c50000000000000000000158,,,1,1,-65,1.52E+12,1520473471
51761,TAG_READ,,c50000000000000000000158,,,1,1,-67,1.52E+12,1520473471
51762,TAG_READ,,c50000000000000000000235,,,1,1,-67,1.52E+12,1520473471
51763,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52E+12,1520473471
51764,TAG_READ,,c50000000000000000000048,,,1,1,-68,1.52E+12,1520473471
51765,TAG_READ,,c50000000000000000000235,,,1,4,-66,1.52E+12,1520473471
51766,TAG_READ,,c50000000000000000000292,,,1,4,-64,1.52E+12,1520473471
51767,TAG_READ,,c50000000000000000000292,,,1,1,-66,1.52E+12,1520473471
51768,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52E+12,1520473471
51769,TAG_READ,,c50000000000000000000235,,,1,3,-71,1.52E+12,1520473471
51770,TAG_READ,,c50000000000000000000048,,,1,2,-67,1.52E+12,1520473472
51771,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473472
51772,TAG_READ,,c50000000000000000000235,,,1,1,-67,1.52E+12,1520473472
51773,TAG_READ,,c50000000000000000000048,,,1,1,-65,1.52E+12,1520473472
51774,TAG_READ,,c50000000000000000000158,,,1,1,-69,1.52E+12,1520473472
51775,TAG_READ,,c50000000000000000000334,,,1,4,-66,1.52E+12,1520473472
51776,TAG_READ,,c50000000000000000000158,,,1,4,-67,1.52E+12,1520473472
51777,TAG_READ,,c50000000000000000000158,,,1,1,-63,1.52E+12,1520473472
51778,TAG_READ,,c50000000000000000000900,,,1,1,-64,1.52E+12,1520473472
51779,TAG_READ,,c50000000000000000000916,,,1,1,-58,1.52E+12,1520473472
51780,TAG_READ,,c50000000000000000000916,,,1,2,-60,1.52E+12,1520473472
51781,TAG_READ,,c50000000000000000000158,,,1,2,-64,1.52E+12,1520473472
51782,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52E+12,1520473472
51783,TAG_READ,,c50000000000000000000916,,,1,4,-56,1.52E+12,1520473472
51784,TAG_READ,,c50000000000000000000916,,,1,1,-55,1.52E+12,1520473472
51785,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473472
51786,TAG_READ,,c50000000000000000000158,,,1,1,-62,1.52E+12,1520473472
51787,TAG_READ,,c50000000000000000000158,,,1,2,-63,1.52E+12,1520473473
51788,TAG_READ,,c50000000000000000000916,,,1,2,-62,1.52E+12,1520473473
51789,TAG_READ,,c50000000000000000000235,,,1,2,-71,1.52E+12,1520473473
51790,TAG_READ,,c50000000000000000000334,,,1,2,-68,1.52E+12,1520473473
51791,TAG_READ,,c50000000000000000000048,,,1,2,-69,1.52E+12,1520473473
51792,TAG_READ,,c50000000000000000000916,,,1,4,-60,1.52E+12,1520473473
51793,TAG_READ,,c50000000000000000000235,,,1,4,-64,1.52E+12,1520473473
51794,TAG_READ,,c50000000000000000000158,,,1,4,-62,1.52E+12,1520473473
51795,TAG_READ,,c50000000000000000000292,,,1,4,-68,1.52E+12,1520473473
51796,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473473
51797,TAG_READ,,c50000000000000000000334,,,1,4,-69,1.52E+12,1520473473
51799,TAG_ALARM,EPC_EAS,c50000000000000000000235,,,1,,,1.52E+12,1520473473
51799,TAG_READ,,c50000000000000000000916,,,1,1,-58,1.52E+12,1520473473
51800,TAG_READ,,c50000000000000000000048,,,1,1,-66,1.52E+12,1520473473
51801,TAG_READ,,c50000000000000000000048,,,1,2,-68,1.52E+12,1520473473
51802,TAG_READ,,c50000000000000000000158,,,1,2,-65,1.52E+12,1520473473
51803,TAG_READ,,c50000000000000000000334,,,1,2,-64,1.52E+12,1520473473
51804,TAG_READ,,c50000000000000000000334,,,1,2,-64,1.52E+12,1520473473
51805,TAG_READ,,c50000000000000000000158,,,1,2,-63,1.52E+12,1520473473
51806,TAG_READ,,c50000000000000000000916,,,1,2,-56,1.52E+12,1520473473
51807,TAG_READ,,c50000000000000000000916,,,1,4,-57,1.52E+12,1520473473
51808,TAG_READ,,c50000000000000000000048,,,1,4,-61,1.52E+12,1520473473
51809,TAG_READ,,c50000000000000000000158,,,1,4,-62,1.52E+12,1520473473
51810,TAG_READ,,c50000000000000000000334,,,1,4,-63,1.52E+12,1520473473
51811,TAG_READ,,c50000000000000000000334,,,1,1,-56,1.52E+12,1520473473
51812,TAG_READ,,c50000000000000000000916,,,1,1,-56,1.52E+12,1520473473
51813,TAG_READ,,c50000000000000000000048,,,1,1,-62,1.52E+12,1520473473
51814,TAG_READ,,c50000000000000000000610,,,1,1,-64,1.52E+12,1520473473
51815,TAG_READ,,c50000000000000000000334,,,1,2,-60,1.52E+12,1520473473
51816,TAG_READ,,c50000000000000000000916,,,1,2,-60,1.52E+12,1520473473
51817,TAG_READ,,c50000000000000000000158,,,1,2,-64,1.52E+12,1520473473
51818,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-71,1.52E+12,1520473473
51819,TAG_READ,,c50000000000000000000916,,,1,2,-60,1.52E+12,1520473473
51820,TAG_READ,,c50000000000000000000334,,,1,2,-68,1.52E+12,1520473473
51821,TAG_READ,,c50000000000000000000158,,,1,2,-64,1.52E+12,1520473473
51822,TAG_READ,,c50000000000000000000916,,,1,4,-66,1.52E+12,1520473473
51823,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52E+12,1520473474
51824,TAG_READ,,c50000000000000000000916,,,1,1,-60,1.52E+12,1520473474
51825,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,1,-66,1.52E+12,1520473474
51826,TAG_READ,,c50000000000000000000158,,,1,1,-62,1.52E+12,1520473474
51827,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-67,1.52E+12,1520473474
51828,TAG_READ,,c50000000000000000000158,,,1,2,-61,1.52E+12,1520473474
51829,TAG_READ,,c50000000000000000000048,,,1,2,-65,1.52E+12,1520473474
51830,TAG_READ,,c50000000000000000000610,,,1,2,-64,1.52E+12,1520473474
51831,TAG_READ,,c50000000000000000000158,,,1,2,-60,1.52E+12,1520473474
51832,TAG_READ,,c50000000000000000000916,,,1,2,-63,1.52E+12,1520473474
51833,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-64,1.52E+12,1520473474
51834,TAG_READ,,c50000000000000000000334,,,1,2,-71,1.52E+12,1520473474
51835,TAG_READ,,c50000000000000000000048,,,1,4,-68,1.52E+12,1520473474
51836,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473474
51837,TAG_READ,,c50000000000000000000158,,,1,4,-69,1.52E+12,1520473474
51838,TAG_READ,,c50000000000000000000158,,,1,1,-63,1.52E+12,1520473474
51839,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,1,-63,1.52E+12,1520473474
51840,TAG_READ,,c50000000000000000000916,,,1,1,-64,1.52E+12,1520473474
51841,TAG_READ,,c50000000000000000000235,,,1,1,-68,1.52E+12,1520473474
51842,TAG_READ,,c50000000000000000000235,,,1,3,-71,1.52E+12,1520473474
51843,TAG_READ,,c50000000000000000000610,,,1,2,-64,1.52E+12,1520473474
51844,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,1,-62,1.52E+12,1520473474
51845,TAG_READ,,c50000000000000000000158,,,1,1,-64,1.52E+12,1520473474
51846,TAG_READ,,c50000000000000000000048,,,1,1,-66,1.52E+12,1520473474
51847,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,1,-63,1.52E+12,1520473474
51848,TAG_READ,,c50000000000000000000334,,,1,1,-67,1.52E+12,1520473474
51849,TAG_READ,,c50000000000000000000916,,,1,2,-61,1.52E+12,1520473474
51850,TAG_READ,,c50000000000000000000334,,,1,2,-64,1.52E+12,1520473474
51851,TAG_READ,,c50000000000000000000610,,,1,2,-64,1.52E+12,1520473474
51852,TAG_READ,,c50000000000000000000158,,,1,2,-65,1.52E+12,1520473474
51853,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-60,1.52E+12,1520473474
51854,TAG_READ,,c50000000000000000000048,,,1,2,-69,1.52E+12,1520473474
51855,TAG_READ,,c50000000000000000000315,,,1,4,-68,1.52E+12,1520473474
51856,TAG_READ,,c50000000000000000000292,,,1,4,-69,1.52E+12,1520473474
51857,TAG_READ,,c50000000000000000000048,,,1,4,-65,1.52E+12,1520473474
51858,TAG_READ,,c50000000000000000000916,,,1,1,-70,1.52E+12,1520473475
51859,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-62,1.52E+12,1520473475
51860,TAG_READ,,c50000000000000000000158,,,1,2,-69,1.52E+12,1520473475
51861,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-57,1.52E+12,1520473475
51862,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473475
51863,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473475
51864,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473475
51865,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-63,1.52E+12,1520473475
51866,TAG_READ,,c50000000000000000000900,,,1,3,-64,1.52E+12,1520473475
51867,TAG_READ,,c50000000000000000000334,,,1,3,-68,1.52E+12,1520473475
51868,TAG_READ,,c50000000000000000000158,,,1,2,-68,1.52E+12,1520473475
51869,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-60,1.52E+12,1520473475
51870,TAG_READ,,c50000000000000000000235,,,1,4,-66,1.52E+12,1520473475
51871,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473475
51872,TAG_READ,,c50000000000000000000292,,,1,4,-68,1.52E+12,1520473475
51873,TAG_READ,,c50000000000000000000048,,,1,1,-67,1.52E+12,1520473475
51874,TAG_READ,,c50000000000000000000235,,,1,1,-68,1.52E+12,1520473475
51875,TAG_READ,,c50000000000000000000292,,,1,1,-65,1.52E+12,1520473475
51876,TAG_READ,,c50000000000000000000334,,,1,3,-63,1.52E+12,1520473475
51877,TAG_READ,,c50000000000000000000900,,,1,3,-70,1.52E+12,1520473475
51878,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-60,1.52E+12,1520473475
51879,TAG_READ,,c50000000000000000000158,,,1,3,-65,1.52E+12,1520473475
51880,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-63,1.52E+12,1520473475
51881,TAG_READ,,c50000000000000000000334,,,1,2,-70,1.52E+12,1520473475
51882,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473476
51883,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473476
51884,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473476
51885,TAG_READ,,c50000000000000000000334,,,1,4,-66,1.52E+12,1520473476
51886,TAG_READ,,c50000000000000000000048,,,1,4,-64,1.52E+12,1520473476
51887,TAG_READ,,c50000000000000000000883,,,1,4,-73,1.52E+12,1520473476
51888,TAG_READ,,c50000000000000000000315,,,1,4,-68,1.52E+12,1520473476
51889,TAG_READ,,c50000000000000000000292,,,1,4,-69,1.52E+12,1520473476
51890,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-56,1.52E+12,1520473476
51891,TAG_READ,,c50000000000000000000916,,,1,3,-65,1.52E+12,1520473476
51892,TAG_READ,,c50000000000000000000900,,,1,3,-67,1.52E+12,1520473476
51893,TAG_READ,,c50000000000000000000334,,,1,3,-71,1.52E+12,1520473476
51894,TAG_READ,,c50000000000000000000334,,,1,2,-70,1.52E+12,1520473476
51895,TAG_READ,,c50000000000000000000916,,,1,2,-70,1.52E+12,1520473476
51896,TAG_READ,,c50000000000000000000292,,,1,4,-69,1.52E+12,1520473476
51897,TAG_READ,,c50000000000000000000334,,,1,4,-67,1.52E+12,1520473476
51898,TAG_READ,,c50000000000000000000883,,,1,4,-71,1.52E+12,1520473476
51899,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,4,-62,1.52E+12,1520473476
51900,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473476
51901,TAG_READ,,c50000000000000000000292,,,1,4,-65,1.52E+12,1520473476
51902,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52E+12,1520473476
51903,TAG_READ,,c50000000000000000000235,,,1,1,-67,1.52E+12,1520473476
51904,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-60,1.52E+12,1520473476
51905,TAG_READ,,c50000000000000000000334,,,1,3,-70,1.52E+12,1520473476
51906,TAG_READ,,c50000000000000000000900,,,1,3,-68,1.52E+12,1520473476
51907,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473476
51908,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,4,-64,1.52E+12,1520473476
51909,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473476
51910,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,4,-62,1.52E+12,1520473476
51911,TAG_READ,,c50000000000000000000292,,,1,4,-68,1.52E+12,1520473476
51912,TAG_READ,,c50000000000000000000292,,,1,1,-68,1.52E+12,1520473476
51913,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-63,1.52E+12,1520473476
51914,TAG_READ,,c50000000000000000000048,,,1,3,-71,1.52E+12,1520473476
51915,TAG_READ,,c50000000000000000000235,,,1,2,-74,1.52E+12,1520473477
51916,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473477
51917,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473477
51918,TAG_READ,,c50000000000000000000235,,,1,4,-71,1.52E+12,1520473477
51919,TAG_READ,,c50000000000000000000315,,,1,4,-70,1.52E+12,1520473477
51920,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473477
51922,TAG_ALARM,EPC_EAS,c50000000000000000000334,,,1,,,1.52E+12,1520473475
51923,TAG_ALARM,EPC_EAS,c50000000000000000000048,,,1,,,1.52E+12,1520473476
51923,TAG_READ,,c50000000000000000000900,,,1,3,-67,1.52E+12,1520473477
51924,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473477
51925,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473477
51926,TAG_READ,,c50000000000000000000765,,,1,1,-71,1.52E+12,1520473477
51927,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473477
51928,TAG_READ,,c50000000000000000000048,,,1,3,-70,1.52E+12,1520473477
51929,TAG_READ,,c50000000000000000000048,,,1,4,-64,1.52E+12,1520473478
51930,TAG_READ,,c50000000000000000000048,,,1,1,-63,1.52E+12,1520473478
